Headword,Entry No.,No.,Syllabary,Practical,Tone and length 1,Tone and length 2,Part of speech,Grammar note,Translation 1A,Translation 1B,Translation 1C,Translation 1D,Translation 2A,Translation  2B,Translation  3A,Translation 3B,English gloss 1,English gloss 2,English gloss 3,English gloss 4,Compare 1 ,Compare 2,Compare 3,Compare 4,Sentence 1 audio,Sentence-1 SYLL,Sentence-1 PHON,Sentence-1 ENGL,Sentence 2 audio,Sentence-2 SYLL,Sentence-2 PHON,Sentence-2 ENGL,Sentence 3 audio,Sentence-3 SYLL,Sentence-3 PHON,Sentence-3 ENGL,Spelling variant
ᎠᏓᏃᏰᎭ,20.1,20,ᎠᏓᏃᏰᎭ,adahnoyeha,àdạhnóyẹha,à:dahnó:yeha,verb (vi) ,3rd person singular,s/he's fanning him/herself,,,,,,,,fan,,,,ạdạhnoyo,kạnóyẹha,,,entry_0020.1_sentence_1.wav,ᎤᏓᏃᏰᏗ ᎤᏚᎵ ᎠᏎᏃ Ꮭ ᎠᏓᏃᏲ ᏳᏩᏯ,u:tano:yé:hdi̋ ù:du:lí a:sé:hnó: hla atano:yó yuwá:ya,"She wants to fan herself, but she has no fan",,,,,,,,,
ᎦᏓᏃᏰᎭ,20.2,20,ᎦᏓᏃᏰᎭ,gadanoyeha,gạdànóyẹha,gadà:nó:yeha,verb (vi) ,1st person singular ,I'm fanning  myself,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎤᏓᏃᏰᎲᎢ,20.3,20,ᎤᏓᏃᏰᎲᎢ,udahnoyehv'i,ùdạhnóyehv̌'i,ù:dahnó:ye:hv̌:'i,verb (vi) ,3rd person singular non-progressive remote past tense ,s/he fanned him/herself ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏓᏃᏰᏍᎪᎢ,20.4,20,ᎠᏓᏃᏰᏍᎪᎢ,adahnoyesgo'i,àdạhnóyesgó'i,à:dahnó:ye:sgó:'i,verb (vi) ,3rd person singular present habitual ,s/he  fans him/herself,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎭᏓᏃᏰᎳ,20.5,20,ᎭᏓᏃᏰᎳ,hadahnoyvla,hạdạhnoyv̌la,hadahno:yv̌:la,verb (vi) ,imperative with animate direct objects/ inanimate direct objects ,fan yourself!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎤᏓᏃᏰᏗ,20.6,20,ᎤᏓᏃᏰᏗ,udahnoyehdi,udạhnoyẹ́hdi,u:dahno:yéhdi,verb (vi) ,3rd person singular infinitive ,to fan yourself,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏓᏃᏲ,21.1,21,ᎠᏓᏃᏲ,adahnoyo,ạdạhnoyo,adahno:yo,noun,,fan,,,,,,,,fan,,,,àdạhnóyẹha,kạnóyẹha,,,entry_0021.1_sentence_1.wav,ᎤᏗᏞᎦ ᎱᏓᎸᎥᎦ ᎠᏓᏃᏲ,ù:di:hlehga hu:dalv́'v̀:ga atano:yó,It's hot Plug in the fan,,,,,,,,,
ᏗᏓᏃᏲ,21.2,21,ᏗᏓᏃᏲ,didahnoyo,didạhnoyo,di:dahno:yo,noun,plural,fans,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏓᏩᏛᎯᏙᎭ,22.1,22,ᎠᏓᏩᏛᎯᏙᎭ,adahwahtvhidoha,àdahwạhtvhǐdôha,à:da:hwahtv:hǐ:dô:ha,verb (vi) ,3rd person singular,s/he's visiting,,,,,,,,visit,,,,àhwạhtvhǐdôha,,,,entry_0022.1_sentence_1.wav,Ꮭ ᎠᏴ ᎠᏇᏅᏒ ᏱᎩ ᎠᎭᏂ ᎦᏓᏩᏛᎯᏙᎭᏊ,hla aya à:gwe:nv́:sv̋ yigi áhani gadà:wahtv:hi:dô:hagwu,This isn’t my home I’m just visiting,,,,,,,,,
ᎦᏓᏩᏛᎯᏙᎭ,22.2,22,ᎦᏓᏩᏛᎯᏙᎭ,gadawahtvhidoha,gạdàwạhtvhǐdôha,gadà:wahtv:hǐ:dô:ha,verb (vi) ,1st person singular ,I'm visiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎤᏓᏩᏛᎯᏙᎸᎢ,22.3,22,ᎤᏓᏩᏛᎯᏙᎸᎢ,udahwahtvhidolv'i,ùdahwạhtvhǐdôlv̌'i,ù:da:hwahtv:hǐ:dô:lv̌:'i,verb (vi) ,3rd person singular non-progressive remote past tense ,s/he visited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏓᏩᏛᎯᏙᎰᎢ,22.4,22,ᎠᏓᏩᏛᎯᏙᎰᎢ,adahwahtvhidoho'i,àdahwạhtvhǐdôhó'i,à:da:hwahtv:hǐ:dô:hó:'i,verb (vi) ,3rd person singular present habitual ,s/he  visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎭᏓᏩᏛᎯᏓ,22.5,22,ᎭᏓᏩᏛᎯᏓ,hadahwahtvhida,hạdahwạhtvhǐda,hada:hwahtv:hǐ:da,verb (vi) ,imperative with animate direct objects/ inanimate direct objects ,visit!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎤᏓᏩᏛᎯᏓᏍᏗ,22.6,22,ᎤᏓᏩᏛᎯᏓᏍᏗ,udahwahtvhidasdi,udahwạhtvhǐdâsdi,u:da:hwahtv:hǐ:dâ:sdi,verb (vi) ,3rd person singular infinitive ,to visit ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏓᏯᏍᏗᎭ,23.1,23,ᎠᏓᏯᏍᏗᎭ,adahyasdiha,àdahyâsdịha,à:da:hyâ:sdiha,verb (vi) ,3rd person singular,s/he's stretching,,,,,,,,stretch,,,,,,,,entry_0023.1_sentence_1.wav,ᎤᏍᏆᏓ ᎪᏪᎵ ᏕᎪᏪᎵᏍᎬ‚ ᎤᏓᏯᏍᏔᏅᎢ,ù:sgwá'da go:hwe:li de:gó:hwě:lî:sgv̋: ù:da:hyâ:stanv̌:'i,When he finished writing letters‚ he stretched,,,,,,,,,
ᎦᏓᏯᏍᏗᎭ,23.2,23,ᎦᏓᏯᏍᏗᎭ,gadayasdiha,gạdàyâsdịha,gadà:yâ:sdiha,verb (vi) ,1st person singular ,I'm stretching ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎤᏓᏯᏍᏔᏅᎢ,23.3,23,ᎤᏓᏯᏍᏔᏅᎢ,udahyastanv'i,ùdahyâstạnv̌'i,ù:da:hyâ:stanv̌:'i,verb (vi) ,3rd person singular non-progressive remote past tense ,s/he stretched,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏓᏯᏍᏗᏍᎪᎢ,23.4,23,ᎠᏓᏯᏍᏗᏍᎪᎢ,adahyasdisgo'i,àdahyâsdisgó'i,à:da:hyâ:sdi:sgó:'i,verb (vi) ,3rd person singular present habitual ,s/he stretches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎭᏓᏯᏍᏓ,23.5,23,ᎭᏓᏯᏍᏓ,hadahyasda,hạdahyàsda,hada:hyà:sda,verb (vi) ,imperative with animate direct objects/ inanimate direct objects ,stretch!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎤᏓᏯᏍᏙᏗ,23.6,23,ᎤᏓᏯᏍᏙᏗ,udahyasdohdi,udahyàsdọ́hdi,u:da:hyà:sdóhdi,verb (vi) ,3rd person singular infinitive ,to stretch,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏓᏰᏍᎩ,24.1,24,ᎠᏓᏰᏍᎩ,adahyesgi,ạdahye̋sgi,ada:hye̋:sgi,noun,,cancer,,,,,,,,cancer,,,,,,,,entry_0024.1_sentence_1.wav,ᎠᏓᏰᏍᎩ ᎤᏢᎬ ᎠᏥᏅᏩᏅᎢ,ada:hye̋:sgi ù:dlv́gv̋ à:jì:nv:wâ:nv̌:'i,He was cured of cancer,,,,,,,,,
ᎠᏓᏱᎭ,25.1,25,ᎠᏓᏱᎭ,adahyiha,àdạhyị́ha,à:dahyíha,verb (vt),3rd person singular,s/he's denying him/her,s/he's denying it,,,,,,,deny ,,,,,,,,entry_0025.1_sentence_1.wav,ᎤᏃᏍᎩᏒ ᎠᎫᎢᏍᏔᎾ ᎤᏓᏱᎸᎢ,u:no:sgí:sv̋: à:gu'i̋:stana ù:dahyilv̌:'i,When he was accused of stealing‚ he denied it,entry_0025.1_sentence_2.wav,"ᏥᏯᏓᏱᎭ, Ꮭ ᏥᏲᎵᎦ ᏱᎩ"‚ji:dayíha hla ji:yő:lì:ga yigi,I am denying him‚ I just don't know him,,,,,
ᏥᏯᏓᏱᎭ,25.2,25,ᏥᏯᏓᏱᎭ,jiyada'yiha,jiyạdạ'yị́ha,ji:yada'yíha,verb (vt),1st person singular with animate object,I'm denying him/her,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎦᏓᏱᎭ,25.3,25,ᎦᏓᏱᎭ,gada'yiha,gạdạ'yị́ha,gada'yíha,verb (vt),1st person singular with inanimate object,,I'm denying it,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎤᏓᏱᎸᎢ,25.4,25,ᎤᏓᏱᎸᎢ,udahyilv'i,ùdạhyịlv̌'i,ù:dahyilv̌:'i,verb (vt),3rd person singular non-progressive remote past tense ,s/he denied him/her,s/he denied it ,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏓᏱᎰᎢ,25.5,25,ᎠᏓᏱᎰᎢ,adahyiho'i,àdạhyịhó'i,à:dahyihó:'i,verb (vt),3rd person singular present habitual ,s/he denies him/her ,s/he denies it,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎯᏯᏓᏱᎦ,25.6,25,ᎯᏯᏓᏱᎦ,hiyadayiga,hiyạdạyìga,hi:yadayì:ga,verb (vt),imperative with animate direct objects,deny him/her!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎭᏓᏱᎦ,25.7,25,ᎭᏓᏱᎦ,hadayhga,hạdạyhga,hadayhga,verb (vt),imperative with inanimate direct objects ,,deny it!,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎤᏓᏱᏍᏗ,25.8,25,ᎤᏓᏱᏍᏗ,udayhsdi,udạyhsdi,u:dayhsdi,verb (vt),3rd person singular infinitive ,to deny someone,to deny something,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏓᏲᏁᎭ,26.1,26,ᎠᏓᏲᏁᎭ,adahyoneha,àdahyónẹha,à:da:hyó:neha,verb (vi) ,3rd person singular,s/he's committing adultery,,,,,,,,commit adultery,,,,ạdahyonẹ́hdi,ạdahyonẹ́hdi,,,entry_0026.1_sentence_1.wav,ᏣᏁᎵᏁ ᏗᎧᏃᏩᏛᏍᏗ 'ᏞᏍᏗ ᏣᏓᏲᏁᎸᎢ' ᎠᏗᎭ,chane:li:ne̋: dikanowadv́:sdi hlè:sdi jada:hyo:ně:lv́:'i à:dǐ:ha,"The eighth commandment says, 'Thou shalt not commit adultery'",,,,,,,,,
ᎦᏓᏲᏁᎭ,26.2,26,ᎦᏓᏲᏁᎭ,gadayoneha,gạdàyónẹha,gadà:yó:neha,verb (vi) ,1st person singular ,I'm committing adultery ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎤᏓᏲᏁᎸᎢ,26.3,26,ᎤᏓᏲᏁᎸᎢ,udahyonelv'i,ùdahyónelv̌'i,ù:da:hyó:ne:lv̌:'i,verb (vi) ,3rd person singular non-progressive remote past tense ,s/he committed adultery,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏓᏲᏁᎰᎢ,26.4,26,ᎠᏓᏲᏁᎰᎢ,adahyoneho'i,àdahyónẹhó'i,à:da:hyó:nehó:'i,verb (vi) ,3rd person singular present habitual ,s/he commits adultery,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎭᏓᏲᏅᎳ,26.5,26,ᎭᏓᏲᏅᎳ,hadahyonvla,hạdahyonv̌la,hada:hyo:nv̌:la,verb (vi) ,imperative with animate direct objects/ inanimate direct objects ,commit adultery!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎤᏓᏲᏁᏗ,26.6,26,ᎤᏓᏲᏁᏗ,udahyonehdi,udahyonẹ́hdi,u:da:hyo:néhdi,verb (vi) ,3rd person singular infinitive ,to commit adultery,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏓᏲᏁᏗ,27.1,27,ᎠᏓᏲᏁᏗ,adahyonehdi ,ạdahyonẹ́hdi,ada:hyo:néhdi,noun,,adultery,,,,,,,,adultery,,,,ạdahyonẹ́hdi,ạdahyone̋hi,,,entry_0027.1_sentence_1.wav,ᎦᎸᏉᏗ ᎪᏪᎵ ᎠᏍᎦᎦ ᎠᏓᏲᏁᏗ,galv̋:kwdi go:hwe:li à:sgâ:ga ada:hyő:nehdi,The Bible reproves adultery,,,,,,,,,
ᎠᏓᏲᏁᎯ,28.1,28,ᎠᏓᏲᏁᎯ,adahyoneni ,ạdahyone̋hi,ada:hyo:ne̋:hi,noun,,adulterer,,,,,,,,adulterer,,,,ạdahyonẹ́hdi,ạdahyone̋hi,,,entry_0028.1_sentence_1.wav,ᏣᏂ ᎣᏍᏗ ᎧᏃᎮᏓ ᏣᏁᎵᏁ ᎠᏯᏙᏢ ᎠᏥᏁᎢᏍᏗ ᎠᏓᏲᏁᎯ ᎠᎨᏯ,jǎ:ni ő:sdi kano:hě:da chane:li:ne̋: à:yâ:tohlv̋: à:jì:nê:sdí ada:hyo:ne̋:hi agě:hya,An adulteress is mentioned in chapter eight of the book of John,,,,,,,,,
ᏗᎾᏓᏲᏁᎯ,28.2,28,ᏗᎾᏓᏲᏁᎯ,dinadahyonehi,dinạdahyone̋hi,di:nada:hyo:ne̋:hi,noun,plural,adulterers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏓᏣᎦᎵᎭ,29.1,29,ᎠᏓᏣᎦᎵᎭ,adajagaliha,àdajạgạlị́ha,à:da:jagalíha,verb (vi) ,3rd person singular,it's ripping,,,,,,,,rip,,,,gajạgạlị́ha,,,,entry_0029.1_sentence_1.wav,ᎤᏪᏘ ᎠᎿᏬ ᎠᎯᏓ ᎨᏐ ᎤᏓᏣᎦᎵᏗ,uwe̋:ti ahnawó ahi̋:da gè:só u:da:jagalhdi,An old cloth is easy to rip,,,,,,,,,
ᎦᏓᏣᎦᎵᎠ,29.2,29,ᎦᏓᏣᎦᎵᎠ,gadajagali'a,gạdajạgạlí'a,gada:jagalí:'a,verb (vi) ,1st person singular ,I'm ripping ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎤᏓᏣᎦᎸᎲᎢ,29.3,29,ᎤᏓᏣᎦᎸᎲᎢ,udajagalvhv'i,ùdajạgạlvhv̌'i,ù:da:jagalv:hv̌:'i,verb (vi) ,3rd person singular non-progressive remote past tense ,it ripped ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏓᏣᎦᎵᏍᎪᎢ,29.4,29,ᎠᏓᏣᎦᎵᏍᎪᎢ,adajagalisgo'i,àdajạgạlǐsgọ́'i,à:da:jagalǐ:sgó'i,verb (vi) ,3rd person singular present habitual ,it rips,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎭᏓᏣᎦᎳ,29.5,29,ᎭᏓᏣᎦᎳ,hadajagala,hạdajạgạla,hada:jagala,verb (vi) ,imperative with animate direct objects/ inanimate direct objects ,rip!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎤᏓᏣᎦᎵᏗ,29.6,29,ᎤᏓᏣᎦᎵᏗ,udajagahldi,udajạgạhldi,u:da:jagahldi,verb (vi) ,3rd person singular infinitive ,to rip,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏓᏨᎢᏍᎩ,30.1,30,ᎠᏓᏨᎢᏍᎩ,adajvysgi,ạdajv̋ysgi,ada:jv̋:ysgi,noun,,something that stings,,,,,,,,something that stings,,,,gajṿ́ysga,,,,entry_0030.1_sentence_1.wav,ᎪᎱᏍᏗ ᎤᏍᏗ ᏥᎪᏯ ᎠᏓᏨᎢᏍᎩ ᎤᏩᏨᏴ ᎤᏬᏰᏂ,go:hű:sdi ű:sdi tsgǒ:ya ada:jv̋:ysgi ù:wa:jv́:hya uwò:ye̋:ni,Some kind of a stinging bug stung him on his hand,,,,,,,,,
ᎠᎾᏓᏨᎢᏍᎩ,30.2,30,ᎠᎾᏓᏨᎢᏍᎩ,anadajvysgi,ạnạdajv̋ysgi,anada:jv̋:ysgi,noun,plural,things that sting ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏓᎨᎭ,31.1,31,ᎠᏓᎨᎭ,adakeha,àdakẹ́ha,à:da:kéha,verb (vi) ,3rd person singular,s/he's looking at him/herself in a mirror,,,,,,,,look in mirror,,,,ạdakẹ́hdi,,,,entry_0031.1_sentence_1.wav,Ꮲ ᎤᏪᏅᏍᏗ ᏯᏛᏅᎢᏍᏗ ᎠᏓᎨᏍᎪᎢ,hlv̋: uwe:nv̀:sdi̋ yadv́:nv'isdi̋: à:da:kě:sgó:'i,"When he’s getting ready to go somewhere, he uses a mirror",,,,,,,,,
ᎦᏓᎨᎭ,31.2,31,ᎦᏓᎨᎭ,gadakeha,gạdàkẹ́ha,gadà:kéha,verb (vi) ,1st person singular ,I'm looking at myself in a mirror,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎤᏓᎨᎲᎢ,31.3,31,ᎤᏓᎨᎲᎢ,udakehv'i,ùdakěhv́'i,ù:da:kě:hv́:'i,verb (vi) ,3rd person singular non-progressive remote past tense ,s/he looked at him/herself in a mirror,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᎠᏓᎨᏍᎪᎢ,31.4,31,ᎠᏓᎨᏍᎪᎢ,adakesgo'i,àdakěsgọ́'i,à:da:kě:sgó'i,verb (vi) ,3rd person singular present habitual ,s/he  looks at him/herself in a mirror,,,,,,,,,,,,,,,,,,,,,,,,,,,,
